Date,level_1,returns,nfirms,size
1926-07-31,Agric,2.37,3,99.8
1926-07-31,Food ,0.12,40,31.19
1926-07-31,Soda ,-99.99,0,-99.99
1926-07-31,Beer ,-5.19,3,7.12
1926-07-31,Smoke,1.29,16,59.72
1926-07-31,Toys ,8.65,1,13.0
1926-07-31,Fun  ,2.5,6,28.64
1926-07-31,Books,50.21,1,4.33
1926-07-31,Hshld,-0.48,8,22.27
1926-07-31,Clths,8.08,12,18.36
1926-07-31,Hlth ,-99.99,0,-99.99
1926-07-31,MedEq,4.95,2,19.14
1926-07-31,Drugs,0.91,5,28.07
1926-07-31,Chems,8.14,17,57.59
1926-07-31,Rubbr,-99.99,0,-99.99
1926-07-31,Txtls,0.39,14,5.78
1926-07-31,BldMt,2.46,13,20.8
1926-07-31,Cnstr,-8.21,1,10.35
1926-07-31,Steel,4.07,45,48.56
1926-07-31,FabPr,-99.99,0,-99.99
1926-07-31,Mach ,5.43,19,27.47
1926-07-31,ElcEq,3.18,11,110.78
1926-07-31,Autos,16.39,39,47.55
1926-07-31,Aero ,-0.65,1,9.52
1926-07-31,Ships,1.05,12,43.95
1926-07-31,Guns ,-99.99,0,-99.99
1926-07-31,Gold ,-99.99,0,-99.99
1926-07-31,Mines,5.64,14,27.74
1926-07-31,Coal ,1.54,8,40.52
1926-07-31,Oil  ,-1.4,43,92.79
1926-07-31,Util ,7.04,21,81.22
1926-07-31,Telcm,0.83,5,350.36
1926-07-31,PerSv,-99.99,0,-99.99
1926-07-31,BusSv,5.85,6,11.21
1926-07-31,Hardw,3.76,4,29.37
1926-07-31,Softw,-99.99,0,-99.99
1926-07-31,Chips,1.31,2,26.17
1926-07-31,LabEq,1.35,1,227.11
1926-07-31,Paper,-99.99,0,-99.99
1926-07-31,Boxes,7.7,6,35.35
1926-07-31,Trans,1.94,72,68.67
1926-07-31,Whlsl,-23.79,2,1.19
1926-07-31,Rtail,0.07,33,46.65
1926-07-31,Meals,1.87,6,10.82
1926-07-31,Banks,4.61,3,14.5
1926-07-31,Insur,-0.54,3,31.82
1926-07-31,RlEst,2.89,2,22.92
1926-07-31,Fin  ,-4.85,4,10.28
1926-07-31,Other,5.2,4,24.25
1926-08-31,Agric,2.23,3,102.06
1926-08-31,Food ,2.68,40,31.15
1926-08-31,Soda ,-99.99,0,-99.99
1926-08-31,Beer ,27.03,3,6.75
1926-08-31,Smoke,6.5,16,60.47
1926-08-31,Toys ,16.81,1,14.12
1926-08-31,Fun  ,-0.76,6,29.34
1926-08-31,Books,42.98,1,6.5
1926-08-31,Hshld,-3.58,8,22.13
1926-08-31,Clths,-2.51,12,19.83
1926-08-31,Hlth ,-99.99,0,-99.99
1926-08-31,MedEq,4.2,2,20.09
1926-08-31,Drugs,4.26,5,28.08
1926-08-31,Chems,5.5,17,62.13
1926-08-31,Rubbr,-99.99,0,-99.99
1926-08-31,Txtls,7.97,14,5.79
1926-08-31,BldMt,4.63,13,21.3
1926-08-31,Cnstr,7.37,1,9.5
1926-08-31,Steel,2.17,45,50.39
1926-08-31,FabPr,-99.99,0,-99.99
1926-08-31,Mach ,2.06,19,28.91
1926-08-31,ElcEq,2.1,11,114.29
1926-08-31,Autos,4.23,39,55.11
1926-08-31,Aero ,-6.58,1,9.46
1926-08-31,Ships,1.8,12,44.17
1926-08-31,Guns ,-99.99,0,-99.99
1926-08-31,Gold ,-99.99,0,-99.99
1926-08-31,Mines,0.55,14,29.3
1926-08-31,Coal ,0.85,8,40.83
1926-08-31,Oil  ,3.69,43,91.43
1926-08-31,Util ,-1.69,21,86.81
1926-08-31,Telcm,2.17,5,353.27
1926-08-31,PerSv,-99.99,0,-99.99
1926-08-31,BusSv,1.51,6,11.81
1926-08-31,Hardw,3.57,4,30.47
1926-08-31,Softw,-99.99,0,-99.99
1926-08-31,Chips,-4.7,2,26.06
1926-08-31,LabEq,6.89,1,230.18
1926-08-31,Paper,-99.99,0,-99.99
1926-08-31,Boxes,-2.38,6,37.86
1926-08-31,Trans,4.88,72,69.79
1926-08-31,Whlsl,5.39,2,0.9
1926-08-31,Rtail,-0.75,33,46.57
1926-08-31,Meals,-0.13,6,11.0
1926-08-31,Banks,11.83,3,15.17
1926-08-31,Insur,2.57,3,31.65
