date,CTL,T,CSCO,FCX,XL,IVZ,AMT,WHR,IR,WFT,YUM,CVS,GD,TYC,EL,MUR,CTAS,CBSA,SNV,CAM,DLTR,CAH,DTE,SSP,PSA,EXC,TKR,CMA,ORCL,MS,RSG,ACAS,AGN,MMM,ETFC,CAR,MDR,NOV,PCH,BAX,JCI,SWK,DVN,TMO,PEP,LNC,EMR,MLM,CCI,NU,Market,,,,,,
200001,-18.4697,-11.5513,2.217,-17.4556,-12.5301,-4.0929,17.3824,-10.4707,-14.5289,-5.9468,-25.89,-12.2382,-10.2085,10.4167,1.3631,0,-11.8235,-7.6525,-4.4025,1.1494,-9.0323,-0.3916,9.8814,5.0209,0,20.1439,-20.1835,-5.3548,-10.8477,-6.9002,-17.5439,13.7363,14.5729,-4.3423,-19.378,-24.9412,8.9655,19.5219,-9.8039,1.6915,-2.8571,-16.5975,6.8441,15.4167,-3.1915,-6.9312,-4.0305,2.439,-1.5564,-0.304,-3.9612,,,,,,
200002,-12.945,-11.2245,20.7192,-21.147,-9.8898,5.3057,37.2822,-6.176,-18.2311,19.8003,-6.9869,0.1789,-8.222799,-12.0464,-15.1589,-11.1547,-14.1454,-0.7839,-13.8158,11.6162,-11.9149,-12.3198,-13.1295,-8.0691,-2.7548,-10.0299,-11.1571,-16.6902,48.6393,6.3208,-8.5106,-7.2464,-11.5921,-5.1883,16.9139,-10.6583,-5.0633,29.3333,-4.5093,-14.6771,-3.3937,-8.4577,6.0498,-9.7473,-5.8608,-25.2115,-16.6039,-15.1667,1.9763,-7.7439,3.1777,,,,,,
200003,10.5502,10.6732,16.974,-12.2727,36.9397,24.425,0.2538,7.9402,15.4976,30,16.6667,7.3214,15.0289,32.3762,15.5331,13.8272,47.1831,-3.4989,15.9389,21.0407,34.2995,9.775801,-1.6066,12.4638,-3.8187,-1.1725,13.5371,14.8387,5.1347,17.6575,1.7442,7.604199,-0.6211,0.4252,22.335,3.8596,-1.4667,27.3196,13.1579,15.0229,1.8126,15.6304,30.5034,30.4,8.9805,21.267,16.5981,33.8028,17.4419,14.2857,5.35,,,,,,
200004,-34.0067,4.6083,-10.3274,-20.2073,-13.9955,0.9669999,-5.6962,11.0874,6.0734,2.7153,9.0543,15.9601,18.1106,-8.3541,-11.7353,2.3861,1.1164,2.5731,-1.6556,12.1495,11.0312,20.0272,11.7773,-3.7371,6.5476,13.0508,13.8462,1.194,2.4019,-7.1493,25.1429,-4.4335,17.75,-2.1877,-28.6307,-16.5541,-11.5646,-22.4696,-8.284901,8.4824,17.1098,11.8483,-0.9009,-4.908,5.1971,4.7836,3.2941,11.5789,1.3201,0,-5.953,,,,,,
200005,10.398,-0.2853,-17.8724,-4.5455,25.8793,-8.7719,-20.2685,-12.4338,-2.5672,6,-13.4686,0,0.9615,2.449,1.4144,10.5508,11.041,14.9373,7.7441,-7,2.8078,17.8207,5.9387,2.8434,-0.2793,5.997,3,19.469,-10.086,-6.8404,20.5479,-12.1546,16.8025,-0.3405,-27.6163,-14.17,23.0769,8.6162,-2.859,2.1113,-10.0691,-8.8983,24.2857,-4.1935,11.414,11.3106,8.1686,-7.4198,-31.759,3.3721,-3.8871,,,,,,
200006,6.4815,-1.0014,11.6356,0.6803,-9.0336,20.5769,12.2896,-17.7508,-11.6598,-7.5472,-3.6247,-8.046,-11.5344,0.6906,10.4324,-8.3815,-16.6193,8.5317,-11.325,-5.3763,-0.2626,14.1118,-10.0832,2.8721,6.028,-8.2504,-1.3245,-10.5679,16.9565,16.4336,-3.0303,14.7147,8.4622,-3.7901,6.0241,5.6604,-11.375,26.4423,-12.5413,5.7331,-9.3875,-10.8093,-5.977,13.468,9.0581,-6.7742,2.3305,-17.3691,39.3795,-1.6949,5.1597,,,,,,
200007,1.9565,-1.0029,2.9499,-2.7027,21.94,11.244,2.8486,-7.3727,-2.4845,0.6279,-14.3805,-1.2625,8.512,12.9288,-10.9987,1.367,14.9915,-2.468,2.1277,-2.0833,7.5829,-0.6757,2.6585,0.2538,9.3333,5.8915,-4.3624,13.649,-10.5576,9.8499,4.6875,7.3298,-10.151,9.166699,-9.090899,-8.4821,-15.6028,0.3802,3.7736,10.5778,1.218,10.2632,-18.5762,-1.4837,3.0942,21.564,1.1387,4.3277,-6.8493,1.7241,-1.7712,,,,,,
200008,-1.5437,-1.909,4.8711,9.0278,5.1326,22.724,-15.1604,-11.2243,16.5159,17.1607,20.4134,-5.8637,11.5172,6.5421,-6.9602,11.4108,-1.4815,1.5933,9.375,20.4062,-4.699,11.3095,10.757,2.9418,-4.878,13.47,-7.4105,10.4167,20.9476,17.8767,-12.6866,-6.8293,9.3632,3.9056,18.3333,2.9268,3.3613,5.1136,-0.9164,7.074,2.8881,3.0263,28.0055,12.0482,-6.9577,23.7822,8.9793,-4.8533,2.0221,3.2768,7.5007,,,,,,
200009,-5.423,19.7605,-19.49,-10.1911,6.6183,3.8934,3.6082,2.3026,-25.6516,-8.388801,5.1502,24.7475,-0.1986,-8.9693,-10.4122,-2.9026,4.812,-13.6531,8.1778,-5.3012,0,7.8289,11.554,6.5351,1.5692,25.6809,-16.092,4.4839,-13.4021,-14.9913,-10.2564,1.267,15.4701,-2.0161,-7.3944,-17.5355,43.0894,-9.909901,-5.948,-4.1291,0.0561,-13.785,2.7962,11.828,8.246301,-10.8796,1.2276,-4.3,-10.4505,-4.6703,-5.1145,,,,,,
200010,41.2844,15.8825,-2.4887,-9.9291,4.5918,2.2548,8.6235,11.8971,11.4391,-15.1163,-2.0408,14.4292,14.3443,9.277101,26.7918,-10.6075,6.4562,-2.1368,1.7699,-26.039,-3.5439,7.4415,-5.5556,8.2176,-6.0052,-0.4611,2.7397,3.2086,-16.1905,-11.9481,2.381,-6.8602,-0.4441,6.0357,-11.4068,10.3448,-11.9318,-6.4,5.9289,2.9757,12.1034,15.4472,-16.2095,11.5385,5.2989,1.1221,9.6082,0.3135,-2.4145,-6.0519,-2.4492,,,,,,
